,CallNumber,Company,Ticker,Date,Call,1-Day,1-Week,1-Month,1-Year,1-DayIndex,1-WeekIndex,1-MonthIndex,1-YearIndex,Sector,Industry,CurrentPrice,HistoricalPrice,Time Since Recommendation,Years Since Recommendation,Total Yield,Annual Yield,Year,Performance
6943,12431,Apple ,AAPL,2017-01-17,Buy,0.10%,1.30%,14.30%,50.0,-0.30%,0.60%,5%,27.0,Technology,Consumer Electronics,237.33,30.0,2874 days,7.868583162217659,691.1,87.8302974947808,2017,23.0
6944,12432,Wells Fargo ,WFC,2017-01-17,Buy,0.90%,4.30%,7.80%,21.0,0.10%,1.20%,4%,25.0,Financial Services,Banks - Diversified,76.17,53.78,2874 days,7.868583162217659,41.6325771662328,5.290987755729482,2017,-4.0
6945,12434,Apple ,AAPL,2017-01-20,Buy,0.10%,1.30%,14.30%,50.0,-0.30%,0.60%,5%,27.0,Technology,Consumer Electronics,237.33,30.0,2871 days,7.860369609856263,691.1,87.92207419017764,2017,23.0
6946,12435,First Solar ,FSLR,2017-01-20,Negative Mention,-3.10%,-7.80%,8.80%,105.0,-0.30%,0.60%,5%,27.0,Technology,Solar,199.27,34.75,2871 days,7.860369609856263,473.43884892086334,60.23111792697504,2017,78.0
6947,12437,Target ,TGT,2017-01-23,Negative Mention,0.90%,0.10%,1.80%,24.0,0.50%,0.00%,4%,27.0,Consumer Defensive,Discount Stores,132.31,63.85,2868 days,7.852156057494867,107.22004698512139,13.654854310082143,2017,-3.0
6948,12444,Travelers Companies ,TRV,2017-02-13,Buy,0.40%,1.10%,2.60%,20.0,0.50%,1.20%,2%,18.0,Financial Services,Insurance - Property & Casualty,266.04,119.71,2847 days,7.794661190965092,122.23707292623844,15.682153454973161,2017,2.0
6949,12446,Consolidated Edison ,ED,2017-02-24,Buy,-0.20%,0.20%,2.70%,4.0,0.20%,0.30%,-1%,19.0,Utilities,Utilities - Regulated Electric,100.59,76.61,2836 days,7.7645448323066395,31.301396684505946,4.03132409697313,2017,-15.0
6950,12448,Caterpillar ,CAT,2017-03-02,Negative Mention,0.80%,-3.00%,-3.00%,63.0,0.10%,-0.30%,-1%,16.0,Industrials,Farm & Heavy Construction Machinery,406.11,94.36,2830 days,7.748117727583847,330.383637134379,42.64050299057665,2017,47.0
6951,12449,Eli Lilly ,LLY,2017-03-07,Buy,0.80%,3.00%,2.30%,-3.0,-0.30%,1.00%,0%,18.0,Healthcare,Drug Manufacturers - General,795.35,82.74,2825 days,7.734428473648186,861.2642011119169,111.35460157739033,2017,-21.0
6952,12450,Merck ,MRK,2017-03-07,Buy,-0.20%,-1.00%,-3.40%,-14.0,-0.30%,1.00%,0%,18.0,Healthcare,Drug Manufacturers - General,101.64,62.89,2825 days,7.734428473648186,61.61551916043886,7.966395884371785,2017,-32.0
6953,12452,KLA Corp ,KLAC,2017-03-15,Buy,0.60%,1.10%,1.40%,31.0,-0.30%,-1.40%,-1%,18.0,Technology,Semiconductor Equipment & Materials,647.03,93.61,2817 days,7.712525667351129,591.1975216323042,76.65420474838449,2017,13.0
6954,12453,Accenture ,ACN,2017-03-17,Buy,-0.70%,-4.00%,-6.00%,32.0,-0.10%,-1.30%,-1%,16.0,Technology,Information Technology Services,362.37,125.22,2815 days,7.707049965776865,189.38667944417824,24.573173949195773,2017,16.0
6955,12459,Occidental Petroleum ,OXY,2017-03-27,Buy,0.80%,1.00%,-3.00%,5.0,0.90%,0.10%,1%,13.0,Energy,Oil & Gas E&P,50.58,62.87,2805 days,7.6796714579055445,-19.548274216637505,-2.5454570971931725,2017,-8.0
6956,12468,McDonald's ,MCD,2017-04-25,Buy,-0.60%,1.30%,6.40%,16.0,0.00%,0.00%,1%,14.0,Consumer Cyclical,Restaurants,296.01,141.7,2776 days,7.600273785078714,108.89908256880734,14.328310485683314,2017,2.0
6957,12469,American Electric Power ,AEP,2017-04-27,Buy,-0.40%,0.90%,5.90%,7.0,-0.30%,0.70%,1%,13.0,Utilities,Utilities - Regulated Electric,99.86,68.1,2774 days,7.594798083504449,46.637298091042595,6.1406896639341415,2017,-6.0
6958,12471,CVS Health ,CVS,2017-04-28,Negative Mention,-0.60%,-1.10%,-6.30%,-12.0,0.00%,0.40%,1%,13.0,Healthcare,Healthcare Plans,59.85,82.44,2773 days,7.592060232717317,-27.401746724890824,-3.6092636102655513,2017,-25.0
6959,12472,Ford Motor ,F,2017-05-02,Negative Mention,1.40%,-0.30%,2.50%,8.0,-0.10%,0.60%,2%,12.0,Consumer Cyclical,Auto Manufacturers,11.13,10.8,2769 days,7.581108829568788,3.055555555555556,0.40304863368243654,2017,-4.0
6960,12475,International Flavors and ,IFF,2017-05-05,Buy,-1.40%,-3.60%,1.50%,-8.0,0.00%,0.30%,2%,13.0,Basic Materials,Specialty Chemicals,91.36,139.27,2766 days,7.572895277207392,-34.40080419329361,-4.542622462617675,2017,-21.0
6961,12479,Starbucks ,SBUX,2017-05-17,Buy,0.20%,5.10%,1.80%,-2.0,0.40%,2.10%,4%,17.0,Consumer Cyclical,Restaurants,102.46,59.73,2754 days,7.540041067761807,71.53859032312072,9.487825023790792,2017,-19.0
6962,12482,Leidos ,LDOS,2017-05-23,Buy,0.40%,1.20%,-1.90%,12.0,0.10%,0.30%,2%,16.0,Technology,Information Technology Services,165.4,54.67,2748 days,7.523613963039014,202.54252789464056,26.920909138834595,2017,-4.0
6963,12483,Northrop Grumman ,NOC,2017-05-25,Buy,0.20%,1.00%,0.00%,29.0,0.10%,1.00%,1%,13.0,Industrials,Aerospace & Defense,489.65,256.52,2746 days,7.51813826146475,90.88180258849214,12.088338818443829,2017,16.0
6964,12486,General Dynamics ,GD,2017-06-08,Buy,-0.10%,1.60%,1.20%,3.0,-0.30%,0.20%,0%,17.0,Industrials,Aerospace & Defense,284.01,199.64,2732 days,7.479808350444901,42.261069925866565,5.650020421091787,2017,-14.0
6965,12494,ON Semiconductor ,ON,2017-07-07,Sell,1.00%,3.90%,13.00%,61.0,0.20%,1.30%,2%,17.0,Technology,Semiconductors,71.12,14.3,2703 days,7.40041067761807,397.3426573426574,53.691973952795266,2017,44.0
6966,12501,Home Depot ,HD,2017-07-20,Negative Mention,-0.30%,1.00%,1.70%,41.0,0.20%,0.00%,-2%,16.0,Consumer Cyclical,Home Improvement Retail,429.13,147.03,2690 days,7.364818617385352,191.86560565870914,26.051640322246662,2017,25.0
6967,12502,AES Corp ,AES,2017-07-25,Positive Mention,-0.70%,0.10%,3.50%,25.0,-0.10%,0.00%,-1%,17.0,Utilities,Utilities - Diversified,13.04,11.24,2685 days,7.351129363449692,16.014234875444828,2.1784727330563216,2017,8.0
6968,12503,McCormick ,MKC,2017-07-25,Buy,-0.10%,1.00%,0.20%,28.0,-0.10%,0.00%,-1%,17.0,Consumer Defensive,Packaged Foods,78.41,47.41,2685 days,7.351129363449692,65.38704914574984,8.894830428486081,2017,11.0
6969,12506,General Electric ,GE,2017-07-26,Negative Mention,0.80%,-0.10%,-5.10%,-48.0,-0.30%,-0.10%,-1%,16.0,Industrials,Aerospace & Defense,182.16,122.47,2684 days,7.34839151266256,48.738466563239975,6.632535362229285,2017,-64.0
6970,12507,Freeport-McMoRan ,FCX,2017-07-27,Buy,0.70%,-1.30%,6.40%,11.0,0.10%,0.20%,-1%,15.0,Basic Materials,Copper,44.2,14.5,2683 days,7.345653661875428,204.82758620689657,27.884187798013034,2017,-4.0
6971,12511,DaVita ,DVA,2017-08-07,Sell,0.40%,-0.10%,0.60%,29.0,-0.10%,-0.30%,0%,18.0,Healthcare,Medical Care Facilities,166.17,56.85,2672 days,7.315537303216975,192.29551451187334,26.28590444440933,2017,11.0
6972,12512,Home Depot ,HD,2017-08-08,Buy,1.20%,-1.90%,3.40%,30.0,0.30%,-0.10%,0%,17.0,Consumer Cyclical,Home Improvement Retail,429.13,153.35,2671 days,7.312799452429843,179.83697424193022,24.592083430125424,2017,13.0
6973,12513,Kimberly-Clark ,KMB,2017-08-08,Negative Mention,0.10%,0.60%,-2.10%,-5.0,0.30%,-0.10%,0%,17.0,Consumer Defensive,Household & Personal Products,139.35,121.44,2671 days,7.312799452429843,14.748023715415016,2.0167411688713344,2017,-22.0
6974,12514,Apple ,AAPL,2017-08-17,Buy,-0.20%,1.50%,0.70%,39.0,-0.10%,0.80%,3%,20.0,Technology,Consumer Electronics,237.33,39.47,2662 days,7.2881587953456535,501.29212059792246,68.78172315867437,2017,19.0
6976,12520,Boeing ,BA,2017-08-31,Buy,0.30%,-0.60%,6.50%,47.0,0.00%,-0.50%,2%,19.0,Industrials,Aerospace & Defense,155.44,239.66,2648 days,7.2498288843258045,-35.14145038804974,-4.84721100990754,2017,28.0
6977,12526,AT&T ,T,2017-09-25,Positive Mention,-1.00%,2.00%,-11.90%,-9.0,-0.10%,1.50%,3%,19.0,Communication Services,Telecom Services,23.16,29.54,2623 days,7.181382614647502,-21.597833446174675,-3.007475663825886,2017,-28.0
6978,12527,Travelers Companies ,TRV,2017-09-25,Buy,-0.10%,0.90%,7.60%,8.0,-0.10%,1.50%,3%,19.0,Financial Services,Insurance - Property & Casualty,266.04,122.67,2623 days,7.181382614647502,116.87454145267792,16.274657363930846,2017,-11.0
6979,12528,Ford Motor ,F,2017-09-27,Negative Mention,0.10%,2.40%,2.40%,-17.0,0.20%,1.70%,3%,18.0,Consumer Cyclical,Auto Manufacturers,11.13,11.82,2621 days,7.175906913073238,-5.837563451776645,-0.813494868661358,2017,-35.0
6980,12531,Lam Research ,LRCX,2017-09-29,Buy,0.50%,-0.70%,10.90%,-18.0,0.30%,0.60%,2%,18.0,Technology,Semiconductor Equipment & Materials,73.88,18.5,2619 days,7.170431211498974,299.35135135135135,41.748026376892355,2017,-36.0
6981,12533,Boeing ,BA,2017-10-02,Buy,-0.20%,2.10%,2.80%,57.0,0.20%,0.70%,2%,17.0,Industrials,Aerospace & Defense,155.44,255.99,2616 days,7.162217659137577,-39.27887808117505,-5.4841782183292,2017,40.0
6982,12535,ServiceNow ,NOW,2017-10-02,Buy,0.90%,2.70%,5.50%,67.0,0.20%,0.70%,2%,17.0,Technology,Software - Application,1049.44,116.8,2616 days,7.162217659137577,798.4931506849316,111.48685905492022,2017,50.0
6983,12536,Becton Dickinson ,BDX,2017-10-03,Buy,0.70%,1.30%,15.10%,32.0,0.20%,0.70%,2%,16.0,Healthcare,Medical Instruments & Supplies,221.9,188.77,2615 days,7.1594798083504445,17.550458229591563,2.451359414286164,2017,16.0
6984,12537,Johnson & Johnson ,JNJ,2017-10-04,Negative Mention,0.20%,2.70%,4.90%,7.0,0.40%,0.00%,2%,15.0,Healthcare,Drug Manufacturers - General,155.01,132.89,2614 days,7.156741957563312,16.645345774700885,2.3258272931176354,2017,-8.0
6985,12539,UnitedHealth Group ,UNH,2017-10-05,Buy,0.10%,-2.80%,7.10%,38.0,0.10%,0.20%,2%,15.0,Healthcare,Healthcare Plans,610.2,197.9,2613 days,7.15400410677618,208.33754421424965,29.121809423748445,2017,23.0
6986,12541,Bank of America ,BAC,2017-10-10,Buy,-0.40%,2.50%,2.60%,12.0,0.20%,0.30%,1%,9.0,Financial Services,Banks - Diversified,47.51,25.93,2608 days,7.14031485284052,83.22406478981874,11.655517509387,2017,3.0
6987,12542,Centene ,CNC,2017-10-13,Buy,0.40%,7.80%,3.80%,53.0,0.00%,0.30%,1%,9.0,Healthcare,Healthcare Plans,60.0,45.28,2605 days,7.132101300479124,32.50883392226148,4.558100418466797,2017,44.0
6988,12543,Honeywell ,HON,2017-10-13,Positive Mention,0.30%,1.50%,2.10%,12.0,0.00%,0.30%,1%,9.0,Industrials,Conglomerates,232.93,137.27,2605 days,7.132101300479124,69.68747723464703,9.770960099790722,2017,3.0
6989,12545,DTE Energy ,DTE,2017-10-16,Buy,0.50%,2.30%,3.50%,4.0,0.10%,0.40%,1%,12.0,Utilities,Utilities - Regulated Electric,125.78,93.28,2602 days,7.123887748117728,34.841337907375646,4.890775815014971,2017,-8.0
6990,12546,AT&T ,T,2017-10-16,Positive Mention,0.20%,-3.80%,-4.70%,-5.0,0.10%,0.40%,1%,12.0,Communication Services,Telecom Services,23.16,27.31,2602 days,7.123887748117728,-15.195898938117901,-2.1330907329544826,2017,-17.0
6991,12547,Verizon ,VZ,2017-10-16,Positive Mention,0.60%,1.10%,-7.50%,17.0,0.10%,0.40%,1%,12.0,Communication Services,Telecom Services,44.34,48.09,2602 days,7.123887748117728,-7.797878976918278,-1.0946100293310534,2017,5.0
6992,12548,Johnson & Johnson ,JNJ,2017-10-17,Buy,-0.10%,1.20%,-1.90%,2.0,-0.10%,-0.20%,1%,10.0,Healthcare,Drug Manufacturers - General,155.01,140.79,2601 days,7.121149897330596,10.100149158320905,1.418331211102157,2017,-8.0
6993,12550,Lockheed Martin ,LMT,2017-10-18,Buy,0.40%,-2.80%,-0.70%,6.0,0.40%,-0.10%,1%,10.0,Industrials,Aerospace & Defense,529.41,315.57,2600 days,7.1184120465434635,67.76309535126911,9.519411760404248,2017,-4.0
6994,12551,Northrop Grumman ,NOC,2017-10-18,Buy,0.20%,1.80%,2.80%,7.0,0.40%,-0.10%,1%,10.0,Industrials,Aerospace & Defense,489.65,292.0,2600 days,7.1184120465434635,67.68835616438355,9.508912341938881,2017,-3.0
6995,12553,Coca-Cola ,KO,2017-10-20,Negative Mention,-0.10%,-1.00%,-1.90%,3.0,-0.50%,0.20%,1%,9.0,Consumer Defensive,Beverages - Non-Alcoholic,64.08,46.38,2598 days,7.112936344969199,38.16300129366105,5.3652949278328315,2017,-6.0
6996,12554,Nike ,NKE,2017-10-20,Negative Mention,1.10%,3.00%,10.40%,41.0,-0.50%,0.20%,1%,9.0,Consumer Cyclical,Footwear & Accessories,78.77,53.06,2598 days,7.112936344969199,48.45457972107047,6.812176767944954,2017,32.0
6997,12555,Schlumberger ,SLB,2017-10-20,Buy,-2.00%,3.60%,-0.30%,-5.0,-0.50%,0.20%,1%,9.0,Energy,Oil & Gas Equipment & Services,43.94,63.15,2598 days,7.112936344969199,-30.41963578780681,-4.276663576403555,2017,-14.0
6998,12556,Corning ,GLW,2017-10-25,Positive Mention,0.50%,-0.40%,1.60%,-1.0,-0.10%,0.80%,2%,6.0,Technology,Electronic Components,48.67,31.54,2593 days,7.099247091033539,54.311984781230194,7.650386595196424,2017,-7.0
6999,12557,Waste Management ,WM,2017-10-27,Buy,-0.50%,-0.80%,-1.20%,8.0,0.10%,0.80%,1%,5.0,Industrials,Waste Management,228.22,82.31,2591 days,7.093771389459275,177.2688616207022,24.989367698557114,2017,3.0
7000,12560,Boeing ,BA,2017-11-06,Buy,0.80%,-1.10%,6.50%,43.0,-0.10%,-0.40%,2%,11.0,Industrials,Aerospace & Defense,155.44,264.07,2581 days,7.066392881587953,-41.136819782633395,-5.821473624799244,2017,32.0
7001,12562,Chipotle Mexican Grill ,CMG,2017-11-09,Negative Mention,1.60%,3.70%,12.10%,75.0,0.10%,-0.10%,3%,8.0,Consumer Cyclical,Restaurants,61.52,5.5,2578 days,7.058179329226557,1018.5454545454545,144.30710910501446,2017,67.0
7002,12563,The Blackstone Group ,BX,2017-11-16,Buy,0.70%,-0.30%,0.10%,8.0,-0.10%,1.00%,5%,6.0,Financial Services,Asset Management,191.09,187.67999267578125,2571 days,7.039014373716633,1.8169263945515863,0.2581222736717102,2017,2.0
7003,12564,Hewlett Packard Enterpris ,HPE,2017-11-17,Negative Mention,3.00%,-4.40%,6.30%,8.0,0.10%,0.70%,4%,6.0,Technology,Communication Equipment,21.22,13.68,2570 days,7.036276522929501,55.11695906432748,7.833256536282339,2017,2.0
7004,12567,Palo Alto Networks ,PANW,2017-11-28,Buy,-2.80%,-2.40%,0.00%,21.0,-0.10%,0.20%,2%,6.0,Technology,Software - Infrastructure,387.82,49.7,2559 days,7.006160164271047,680.3219315895371,97.10339410436829,2017,15.0
7005,12578,Ansys ,ANSS,2017-12-21,Buy,-0.40%,0.60%,11.20%,-7.0,0.00%,-0.20%,6%,-11.0,Technology,Software - Application,351.1,147.23,2536 days,6.9431895961670085,138.4704204306188,19.943344267461953,2017,4.0
7006,12579,Caterpillar ,CAT,2018-01-02,Buy,0.20%,5.50%,0.60%,-21.0,0.60%,1.30%,2%,-8.0,Industrials,Farm & Heavy Construction Machinery,406.11,157.04,2524 days,6.910335386721424,158.6029037187978,22.95154935946549,2018,-13.0
7007,12580,Hormel Foods ,HRL,2018-01-03,Buy,1.30%,-5.30%,-10.40%,17.0,0.20%,1.70%,-3%,-5.0,Consumer Defensive,Packaged Foods,32.43,36.0,2523 days,6.907597535934292,-9.916666666666666,-1.4356173206500198,2018,22.0
7008,12582,Constellation Brands ,STZ,2018-01-05,Buy,-1.40%,0.40%,-2.70%,-21.0,0.20%,1.10%,-4%,-5.0,Consumer Defensive,Beverages - Brewers,240.95,219.88,2521 days,6.9021218343600275,9.582499545206472,1.388341118162104,2018,-16.0
7009,12583,AbbVie ,ABBV,2018-01-08,Buy,0.80%,3.00%,9.00%,-9.0,0.10%,0.90%,-6%,-4.0,Healthcare,Drug Manufacturers - General,182.93,99.49,2518 days,6.893908281998631,83.86772539953766,12.165483201819352,2018,-5.0
7010,12593,ConAgra Foods ,CAG,2018-03-16,Buy,-0.70%,0.10%,2.40%,-35.0,-1.00%,-2.00%,-1%,6.0,Consumer Defensive,Packaged Foods,27.55,36.61,2451 days,6.71047227926078,-24.74733679322589,-3.6878681206551436,2018,-41.0
7011,12598,Dominion Energy ,D,2018-04-12,Buy,-0.20%,2.20%,0.50%,26.0,-0.80%,0.60%,3%,11.0,Utilities,Utilities - Regulated Electric,58.75,64.07,2424 days,6.636550308008213,-8.303418136413288,-1.2511647996390074,2018,15.0
7012,12600,PTC ,PTC,2018-04-17,Positive Mention,0.50%,-1.70%,0.70%,17.0,-0.10%,-2.50%,0%,9.0,Technology,Software - Application,200.06,83.12,2419 days,6.622861054072553,140.68816169393648,21.24280738268305,2018,8.0
7013,12601,Coca-Cola ,KO,2018-04-20,Positive Mention,0.50%,-1.80%,-3.60%,12.0,-0.30%,-0.80%,3%,11.0,Consumer Defensive,Beverages - Non-Alcoholic,64.08,43.74,2416 days,6.614647501711157,46.50205761316871,7.030164132123291,2018,1.0
7014,12609,Consolidated Edison ,ED,2018-05-15,Buy,-0.50%,0.70%,-1.10%,20.0,0.40%,0.40%,2%,8.0,Utilities,Utilities - Regulated Electric,100.59,74.9,2391 days,6.546201232032854,34.299065420560744,5.239537283504731,2018,12.0
7015,12611,Lennar ,LEN,2018-05-17,Negative Mention,1.40%,2.60%,-0.10%,0.0,-0.10%,0.30%,2%,7.0,Consumer Cyclical,Residential Construction,174.39,51.3,2389 days,6.54072553045859,239.94152046783623,36.684236228914685,2018,-7.0
7016,12612,Stanley Black & Decker ,SWK,2018-05-17,Positive Mention,1.20%,1.30%,-2.00%,-5.0,-0.10%,0.30%,2%,7.0,Industrials,Tools & Accessories,89.45,143.16,2389 days,6.54072553045859,-37.517462978485604,-5.73597879987102,2018,-12.0
7017,12613,Dominion Energy ,D,2018-05-21,Buy,0.20%,0.80%,5.70%,27.0,-0.50%,-1.30%,1%,7.0,Utilities,Utilities - Regulated Electric,58.75,63.72,2385 days,6.529774127310062,-7.799748901443815,-1.1944898474852634,2018,20.0
7018,12614,Emerson Electric ,EMR,2018-05-21,Buy,-1.10%,-3.40%,-5.50%,-9.0,-0.50%,-1.30%,1%,7.0,Industrials,Specialty Industrial Machinery,132.6,74.08,2385 days,6.529774127310062,78.99568034557235,12.097766140972873,2018,-16.0
7019,12615,Take-Two Interactive ,TTWO,2018-05-21,Buy,-2.30%,-2.20%,2.90%,-8.0,-0.50%,-1.30%,1%,7.0,Communication Services,Electronic Gaming & Multimedia,188.38,115.96,2385 days,6.529774127310062,62.452569851673,9.564277206844261,2018,-15.0
7020,12616,Union Pacific ,UNP,2018-05-21,Buy,-1.50%,0.80%,0.60%,25.0,-0.50%,-1.30%,1%,7.0,Industrials,Railroads,244.66,145.08,2385 days,6.529774127310062,68.6379928315412,10.511541669484453,2018,18.0
7021,12624,Estee Lauder ,EL,2018-06-11,Buy,1.30%,-1.30%,-11.60%,14.0,0.00%,-0.80%,1%,5.0,Consumer Defensive,Household & Personal Products,72.12,155.05,2364 days,6.4722792607802875,-53.48597226701064,-8.263854217650438,2018,9.0
7022,12630,Molson Coors ,TAP,2018-06-19,Negative Mention,0.70%,-0.50%,-7.70%,-17.0,-0.10%,-2.40%,1%,9.0,Consumer Defensive,Beverages - Brewers,62.06,67.62,2356 days,6.450376454483231,-8.222419402543629,-1.2747193067822837,2018,-26.0
7023,12631,FedEx ,FDX,2018-07-05,Buy,-0.10%,2.40%,7.40%,-29.0,0.80%,1.50%,3%,10.0,Industrials,Integrated Freight & Logistics,302.67,228.58,2340 days,6.406570841889117,32.413159506518504,5.059361756305933,2018,-39.0
7024,12632,Emerson Electric ,EMR,2018-07-09,Buy,0.20%,-2.10%,4.30%,-8.0,0.20%,0.60%,2%,9.0,Industrials,Specialty Industrial Machinery,132.6,70.84,2336 days,6.395619438740589,87.18238283455673,13.631577624281613,2018,-17.0
7025,12638,Idexx Laboratories ,IDXX,2018-07-31,Buy,-3.60%,4.30%,7.60%,14.0,-0.20%,1.60%,3%,7.0,Healthcare,Diagnostics & Research,421.75,244.93,2314 days,6.335386721423682,72.1920548728208,11.395051012228954,2018,7.0
7026,12639,Target ,TGT,2018-08-07,Sell,0.20%,-1.30%,8.50%,5.0,0.00%,-1.30%,1%,5.0,Consumer Defensive,Discount Stores,132.31,82.24,2307 days,6.316221765913758,60.88278210116733,9.639114071283643,2018,0.0
7027,12641,CVS Health ,CVS,2018-08-08,Buy,0.60%,6.80%,10.30%,-11.0,-0.20%,-0.40%,1%,4.0,Healthcare,Healthcare Plans,59.85,68.17,2306 days,6.313483915126626,-12.204782162241456,-1.9331295250471343,2018,-15.0
7028,12644,American Electric Power ,AEP,2018-08-16,Buy,0.20%,-1.30%,0.40%,29.0,0.40%,0.90%,2%,5.0,Utilities,Utilities - Regulated Electric,99.86,72.34,2298 days,6.291581108829569,38.04257672103953,6.0465844853610475,2018,24.0
7029,12645,HP ,HPQ,2018-08-17,Buy,0.00%,-0.90%,2.50%,-19.0,0.00%,1.40%,1%,4.0,Technology,Computer Hardware,35.43,24.54,2297 days,6.288843258042436,44.37652811735941,7.056389592888779,2018,-23.0
7030,12646,Lowe's ,LOW,2018-08-17,Positive Mention,1.00%,8.10%,14.90%,-2.0,0.00%,1.40%,1%,4.0,Consumer Cyclical,Home Improvement Retail,272.43,97.98,2297 days,6.288843258042436,178.04654011022657,28.31149271887691,2018,-6.0
7031,12647,Johnson & Johnson ,JNJ,2018-08-22,Positive Mention,0.40%,0.50%,4.70%,-3.0,-0.10%,1.60%,2%,2.0,Healthcare,Drug Manufacturers - General,155.01,134.61,2292 days,6.275154004106776,15.154891909962094,2.415062945075766,2018,-5.0
7032,12648,HP ,HPQ,2018-09-14,Buy,-0.10%,3.40%,-5.80%,-22.0,-0.50%,1.00%,-5%,6.0,Technology,Computer Hardware,35.43,25.04,2269 days,6.2121834360027375,41.49361022364217,6.679392302417498,2018,-28.0
7033,12657,General Electric ,GE,2018-10-30,Negative Mention,-0.80%,-8.90%,-25.70%,3.0,0.00%,3.80%,2%,14.0,Industrials,Aerospace & Defense,182.16,48.72,2223 days,6.0862422997946615,273.89162561576353,45.0017616986764,2018,-11.0
7034,12659,TJX Companies ,TJX,2018-11-02,Buy,0.70%,-1.00%,-11.90%,8.0,0.30%,-0.30%,2%,15.0,Consumer Cyclical,Apparel Retail,125.69,54.75,2220 days,6.078028747433265,129.57077625570776,21.3178946069357,2018,-7.0
7035,12665,Nucor ,NUE,2018-12-03,Buy,-2.50%,-5.40%,-13.40%,-4.0,-2.90%,-2.30%,-9%,18.0,Basic Materials,Steel,154.69,61.19,2189 days,5.993155373032169,152.80274554665795,25.49620959840878,2018,-22.0
7036,12666,Yum! Brands ,YUM,2018-12-06,Buy,-1.20%,1.40%,1.00%,11.0,-2.20%,-1.20%,-3%,21.0,Consumer Cyclical,Restaurants,138.94,91.5,2186 days,5.984941820670773,51.84699453551912,8.662907023832735,2018,-10.0
7037,12667,United Continental ,UAL,2018-12-12,Buy,-2.40%,-3.50%,-8.70%,0.0,-0.40%,-6.90%,-2%,22.0,Industrials,Airlines,96.83,89.63,2180 days,5.968514715947981,8.033024656922908,1.3459001174041707,2018,-22.0
7038,12670,Coca-Cola ,KO,2019-01-04,Buy,-1.30%,0.40%,4.90%,20.0,0.70%,1.20%,7%,30.0,Consumer Defensive,Beverages - Non-Alcoholic,64.08,47.57,2157 days,5.905544147843942,34.706747950388895,5.876977139026215,2019,-10.0
7039,12671,Dexcom ,DXCM,2019-01-09,Buy,2.30%,5.40%,6.60%,67.0,1.00%,1.60%,5%,28.0,Healthcare,Medical Devices,77.99,34.69,2152 days,5.891854893908282,124.8198328048429,21.18515052600784,2019,39.0
7040,12672,Dexcom ,DXCM,2019-01-10,Buy,-0.60%,6.00%,7.20%,67.0,0.50%,2.90%,4%,29.0,Healthcare,Medical Devices,77.99,35.48,2151 days,5.88911704312115,119.81397970687712,20.344981909780042,2019,38.0
7041,12673,Lennar ,LEN,2019-01-10,Negative Mention,2.70%,-5.00%,-0.80%,31.0,0.50%,2.90%,4%,29.0,Consumer Cyclical,Residential Construction,174.39,45.17,2151 days,5.88911704312115,286.07482842594635,48.576862427976245,2019,2.0
7042,12676,Emerson Electric ,EMR,2019-01-23,Negative Mention,1.00%,3.90%,9.90%,25.0,0.10%,2.40%,6%,27.0,Industrials,Specialty Industrial Machinery,132.6,62.4,2138 days,5.853524982888432,112.49999999999999,19.21918849391955,2019,-2.0
7043,12678,Pfizer ,PFE,2019-01-29,Positive Mention,2.00%,2.70%,5.20%,-7.0,0.90%,1.90%,5%,25.0,Healthcare,Drug Manufacturers - General,26.21,38.65,2132 days,5.83709787816564,-32.18628719275549,-5.5140907116106685,2019,-32.0
7044,12679,Adobe Systems ,ADBE,2019-01-31,Buy,-0.20%,3.90%,4.40%,45.0,0.00%,0.20%,3%,22.0,Technology,Software - Infrastructure,515.93,247.82,2130 days,5.831622176591376,108.18739407634573,18.551852434922665,2019,23.0
7045,12680,Moderna ,MRNA,2019-02-01,Buy,0.30%,11.70%,29.80%,25.0,0.70%,-0.50%,3%,21.0,Healthcare,Biotechnology,43.06,16.22,2129 days,5.8288843258042435,165.47472256473495,28.388747025255725,2019,4.0
7046,12683,Tapestry ,TPR,2019-02-07,Negative Mention,1.10%,6.10%,1.00%,-12.0,0.60%,2.60%,3%,26.0,Consumer Cyclical,Luxury Goods,62.28,33.48,2123 days,5.812457221081451,86.02150537634411,14.799507696047897,2019,-38.0
7047,12688,General Electric ,GE,2019-03-27,Negative Mention,-0.70%,1.40%,-1.60%,-23.0,0.10%,2.30%,5%,-8.0,Industrials,Aerospace & Defense,182.16,49.59,2075 days,5.68104038329911,267.3321234119782,47.05689545842171,2019,-15.0
7048,12690,Walt Disney ,DIS,2019-04-05,Buy,0.00%,14.90%,17.40%,-12.0,0.20%,0.40%,1%,-6.0,Communication Services,Entertainment,117.47,115.0,2066 days,5.6563997262149215,2.147826086956521,0.3797161075802852,2019,-6.0
7049,12692,MarketAxess ,MKTX,2019-04-05,Buy,1.70%,1.40%,12.50%,56.0,0.20%,0.40%,1%,-6.0,Financial Services,Capital Markets,258.69,253.89,2066 days,5.6563997262149215,1.8905825357438306,0.33423778856748987,2019,62.0
7050,12695,Bunge ,BG,2019-04-12,Sell,-0.30%,-2.20%,0.00%,-23.0,-0.10%,0.10%,-3%,-3.0,Consumer Defensive,Farm Products,89.74,52.65,2059 days,5.637234770704997,70.44634377967711,12.496613436390025,2019,-20.0
